,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Steven Adams,26,OKC,58,58,1564,6.0,10.2,0.591,0.0,0.1,0.33299999999999996,6.0,10.1,0.593,2.5,4.2,0.59,4.5,8.0,12.5,3.2,1.2,1.5,2.0,2.6,14.6
1,Bam Adebayo,22,MIA,65,65,2235,6.6,11.6,0.5670000000000001,0.0,0.2,0.077,6.6,11.4,0.5760000000000001,3.8,5.5,0.69,2.7,8.3,11.0,5.4,1.3,1.4,3.0,2.6,17.0
2,LaMarcus Aldridge,34,SAS,53,53,1754,8.0,16.3,0.493,1.3,3.2,0.389,6.8,13.1,0.519,3.2,3.9,0.8270000000000001,2.1,5.9,8.0,2.6,0.7,1.8,1.5,2.6,20.5
3,Nickeil Alexander-Walker,21,NOP,41,0,501,5.5,16.3,0.33899999999999997,2.9,8.4,0.342,2.7,7.9,0.336,1.2,2.0,0.607,0.6,5.2,5.7,5.3,0.8,0.5,2.9,3.3,15.2
4,Grayson Allen,24,MEM,30,0,498,5.7,12.7,0.449,2.4,6.6,0.363,3.3,6.1,0.541,2.2,2.5,0.857,0.4,4.4,4.8,3.1,0.4,0.1,1.7,2.6,16.0
5,Jarrett Allen,21,BRK,64,58,1647,5.8,9.0,0.6459999999999999,0.0,0.1,0.0,5.8,8.9,0.654,3.2,5.2,0.62,4.3,9.0,13.2,1.9,0.8,1.9,1.6,3.1,14.9
6,Kadeem Allen,27,NYK,10,0,117,5.8,13.5,0.43200000000000005,1.5,4.9,0.313,4.3,8.6,0.5,2.2,3.4,0.636,0.6,2.2,2.8,6.5,1.5,0.6,2.5,2.2,15.4
7,Al-Farouq Aminu,29,ORL,18,2,380,2.4,8.1,0.29100000000000004,0.9,3.4,0.25,1.5,4.7,0.32,1.8,2.7,0.655,2.3,6.0,8.2,2.0,1.7,0.8,1.6,2.6,7.4
8,Justin Anderson,26,BRK,3,0,17,2.1,12.7,0.16699999999999998,0.0,6.4,0.0,2.1,6.4,0.33299999999999996,2.1,4.2,0.5,0.0,4.2,4.2,0.0,0.0,2.1,0.0,4.2,6.4
9,Kyle Anderson,26,MEM,59,20,1140,4.4,8.8,0.493,0.5,2.0,0.258,3.9,6.9,0.56,1.4,2.1,0.652,1.7,6.4,8.1,4.2,1.5,1.0,1.7,2.7,10.6
10,Ryan Anderson,31,HOU,2,0,14,5.1,18.0,0.28600000000000003,2.6,12.9,0.2,2.6,5.1,0.5,0.0,0.0,,0.0,18.0,18.0,5.1,2.6,0.0,2.6,2.6,12.9
11,Giannis Antetokounmpo,25,MIL,57,57,1763,12.7,23.3,0.547,1.7,5.5,0.306,11.0,17.7,0.622,7.4,11.6,0.633,2.7,13.3,16.0,6.7,1.2,1.2,4.3,3.5,34.5
12,Kostas Antetokounmpo,22,LAL,3,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,7.2,7.2,7.2,0.0,0.0,0.0,0.0,0.0
13,Thanasis Antetokounmpo,27,MIL,18,2,93,7.4,13.9,0.528,0.0,2.7,0.0,7.4,11.2,0.655,2.7,5.8,0.467,4.3,3.1,7.4,3.5,2.3,0.8,4.3,5.0,17.4
